City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,14.94,76,0,5.98,CL,1738453895
1,west island,-12.1568,96.8225,27.99,83,40,6.17,CC,1738454140
2,bakanas,44.8081,76.2772,-7.42,91,83,2.31,KZ,1738454141
3,adamstown,-25.066,-130.1015,24.97,68,93,6.83,PN,1738454142
4,hermanus,-34.4187,19.2345,18.78,81,30,2.41,ZA,1738453881
5,zelenogorsk,56.1147,94.5861,-18.14,99,99,0.73,RU,1738454145
6,ariquemes,-9.9133,-63.0408,23.72,99,100,1.46,BR,1738454146
7,sant antoni de portmany,38.9807,1.3036,8.94,85,0,0.0,ES,1738454148
8,port-aux-francais,-49.35,70.2167,5.01,87,100,10.07,TF,1738453876
9,yellowknife,62.456,-114.3525,-29.21,90,75,4.12,CA,1738453882
10,carnarvon,-24.8667,113.6333,30.64,53,49,9.54,AU,1738454151
11,spanish wells,26.323,-81.7957,24.02,3,18,3.94,US,1738454152
12,college,64.8569,-147.8028,-17.01,68,100,1.54,US,1738454153
13,albany,42.6001,-73.9662,-10.76,74,26,4.47,US,1738453867
14,ushuaia,-54.8,-68.3,13.81,58,40,3.6,AR,1738454155
15,holualoa,19.6228,-155.9522,26.57,75,40,4.12,US,1738454156
16,taulaga,-11.0553,-171.0883,28.51,75,33,6.7,AS,1738454158
17,lihue,21.9789,-159.3672,25.25,55,0,4.12,US,1738454160
18,grytviken,-54.2811,-36.5092,2.71,83,55,5.45,GS,1738454161
19,dudinka,69.4058,86.1778,-34.77,100,26,1.88,RU,1738453896
20,mahuta,-10.8667,39.45,20.94,94,92,1.22,TZ,1738454163
21,olonkinbyen,70.9221,-8.7187,0.06,94,100,12.48,SJ,1738454165
22,gadzhiyevo,69.2551,33.3362,-9.63,87,83,2.98,RU,1738453880
23,udachny,66.4167,112.4,-40.42,100,88,1.96,RU,1738453875
24,wailua homesteads,22.0669,-159.378,24.92,59,0,4.12,US,1738454168
25,georgetown,5.4112,100.3354,24.97,77,20,1.54,MY,1738454169
26,waitangi,-43.9535,-176.5597,17.12,93,100,1.79,NZ,1738454171
27,i-n-salah,27.1935,2.4607,12.91,44,1,3.28,DZ,1738454172
28,ribeira grande,38.5167,-28.7,14.22,72,20,3.09,PT,1738454173
29,yulinshi,38.2906,109.7494,-5.25,47,83,4.48,CN,1738454174
30,la passe,45.5549,-0.8967,3.64,87,0,2.43,FR,1738454175
31,al jawf,29.5,38.75,8.14,53,0,1.94,SA,1738454177
